epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1589.45,1.39486,1.38386,1.34158,0.72515,0.65584,0.70685,0.43056,1.00992,1.02867,0.9587,0.000990365,0.000990365,0.000990365
43,1623.89,1.38607,1.35278,1.32912,0.71237,0.66565,0.70553,0.42424,1.00935,1.20756,0.95623,0.000973861,0.000973861,0.000973861
44,1657.92,1.36725,1.33308,1.32578,0.7101,0.65895,0.71186,0.43154,1.01233,1.08304,0.95562,0.000957358,0.000957358,0.000957358
45,1692.08,1.37036,1.33636,1.31926,0.69695,0.67985,0.71711,0.44163,0.99754,1.01546,0.94873,0.000940855,0.000940855,0.000940855
46,1726.65,1.36547,1.31881,1.31359,0.71587,0.68936,0.72355,0.43981,0.99009,1.04385,0.95359,0.000924352,0.000924352,0.000924352
47,1760.73,1.36503,1.30567,1.31092,0.72019,0.6604,0.71719,0.43595,1.00395,1.15431,0.95259,0.000907848,0.000907848,0.000907848
48,1794.49,1.36003,1.33187,1.31646,0.72549,0.66146,0.71292,0.43782,0.98386,1.0822,0.9473,0.000891345,0.000891345,0.000891345
49,1828.83,1.36703,1.32186,1.31387,0.7508,0.66749,0.73122,0.44288,1.00815,1.01654,0.95438,0.000874842,0.000874842,0.000874842
50,1864.41,1.34403,1.31109,1.30796,0.73933,0.66949,0.73428,0.4494,0.98231,1.10536,0.93164,0.000858338,0.000858338,0.000858338
51,1900.04,1.35304,1.3082,1.3037,0.75532,0.67071,0.73185,0.45136,0.97942,1.08975,0.93766,0.000841835,0.000841835,0.000841835
52,1935.69,1.33404,1.28024,1.30291,0.7682,0.68568,0.75018,0.46328,0.98447,0.99794,0.93603,0.000825332,0.000825332,0.000825332
53,1971.4,1.33458,1.27696,1.29201,0.73986,0.68234,0.73613,0.44961,1.00518,1.05602,0.95033,0.000808828,0.000808828,0.000808828
54,2006.95,1.34641,1.27047,1.29646,0.76946,0.67143,0.74629,0.45352,0.99129,1.16217,0.92733,0.000792325,0.000792325,0.000792325
55,2042.56,1.34248,1.27302,1.29163,0.7738,0.6698,0.74504,0.46631,0.99074,1.01418,0.93596,0.000775822,0.000775822,0.000775822
56,2078.17,1.30716,1.25358,1.27828,0.74141,0.66972,0.7428,0.46275,0.97965,1.06438,0.93418,0.000759318,0.000759318,0.000759318
57,2113.92,1.33075,1.24946,1.28795,0.79587,0.68626,0.76608,0.47614,0.97532,0.94181,0.92256,0.000742815,0.000742815,0.000742815
58,2149.04,1.31427,1.23101,1.27549,0.78891,0.67096,0.75831,0.46608,0.97706,1.04274,0.92458,0.000726312,0.000726312,0.000726312
59,2184.16,1.32624,1.25035,1.28448,0.78512,0.69061,0.76566,0.47899,0.95205,0.93332,0.90185,0.000709809,0.000709809,0.000709809
60,2219.57,1.29866,1.21166,1.27119,0.79596,0.68564,0.76288,0.47815,0.96517,0.9494,0.91633,0.000693305,0.000693305,0.000693305
61,2254.87,1.28452,1.2028,1.26396,0.80019,0.68643,0.77111,0.48046,0.97116,1.02735,0.91833,0.000676802,0.000676802,0.000676802
62,2290.56,1.28263,1.19433,1.25514,0.78164,0.71168,0.77816,0.48516,0.9496,0.94163,0.90433,0.000660299,0.000660299,0.000660299
63,2326.24,1.29198,1.21061,1.25995,0.79421,0.69034,0.76792,0.4784,0.95837,0.94478,0.90839,0.000643795,0.000643795,0.000643795
64,2361.33,1.27351,1.18957,1.25958,0.81973,0.70395,0.77828,0.4858,0.95724,0.89996,0.91514,0.000627292,0.000627292,0.000627292
65,2396.55,1.27213,1.18029,1.25124,0.81716,0.68613,0.78638,0.49651,0.94248,0.85055,0.90549,0.000610789,0.000610789,0.000610789
66,2431.55,1.26379,1.17844,1.25089,0.80511,0.70354,0.78343,0.49271,0.94621,0.86213,0.89884,0.000594286,0.000594286,0.000594286
67,2466.21,1.27268,1.1627,1.25447,0.77083,0.6966,0.76783,0.47896,0.95845,0.86745,0.90362,0.000577782,0.000577782,0.000577782
68,2500.42,1.26464,1.17288,1.24283,0.77944,0.70584,0.76877,0.48231,0.9602,0.89663,0.90608,0.000561279,0.000561279,0.000561279
69,2534.5,1.27066,1.16613,1.24436,0.79132,0.69719,0.77608,0.48618,0.95508,0.8989,0.90233,0.000544776,0.000544776,0.000544776
70,2568.87,1.23964,1.14861,1.23997,0.80709,0.6968,0.79084,0.5009,0.93557,0.8333,0.89602,0.000528272,0.000528272,0.000528272
71,2603.37,1.26511,1.15582,1.24666,0.81067,0.70619,0.79538,0.51009,0.92316,0.86585,0.88293,0.000511769,0.000511769,0.000511769
72,2637.73,1.25854,1.15235,1.24071,0.78718,0.70842,0.78297,0.49836,0.94363,0.9266,0.8987,0.000495266,0.000495266,0.000495266
73,2671.95,1.23637,1.13239,1.22973,0.796,0.71763,0.78806,0.4995,0.93887,0.85824,0.893,0.000478762,0.000478762,0.000478762
74,2705.9,1.2329,1.11392,1.22751,0.79866,0.70777,0.78408,0.50039,0.92907,0.88692,0.88971,0.000462259,0.000462259,0.000462259
75,2739.9,1.22544,1.11252,1.22881,0.78918,0.72045,0.79056,0.49904,0.93731,0.86195,0.89605,0.000445756,0.000445756,0.000445756
76,2773.83,1.24126,1.12012,1.23839,0.81553,0.71004,0.7889,0.49903,0.93657,0.89428,0.89282,0.000429253,0.000429253,0.000429253
77,2808.29,1.23359,1.11826,1.21923,0.80071,0.7168,0.79462,0.50714,0.92625,0.8604,0.88676,0.000412749,0.000412749,0.000412749
78,2842.97,1.20766,1.09036,1.20755,0.80189,0.72856,0.79636,0.50698,0.92322,0.85352,0.88776,0.000396246,0.000396246,0.000396246
79,2877.24,1.22539,1.08361,1.21277,0.81799,0.70215,0.79183,0.50015,0.92711,0.84647,0.88715,0.000379743,0.000379743,0.000379743
80,2912.86,1.20916,1.07856,1.21614,0.78784,0.7216,0.7947,0.50757,0.92585,0.87472,0.884,0.000363239,0.000363239,0.000363239
81,2948.06,1.21069,1.08581,1.21716,0.78969,0.70747,0.78818,0.50644,0.92218,0.83961,0.89133,0.000346736,0.000346736,0.000346736
82,2983.59,1.19584,1.06325,1.20913,0.78614,0.72882,0.79835,0.51378,0.92048,0.81491,0.8809,0.000330233,0.000330233,0.000330233
83,3018.81,1.21405,1.08033,1.21923,0.79223,0.7187,0.79021,0.5073,0.9236,0.85133,0.88402,0.000313729,0.000313729,0.000313729
84,3054.22,1.21322,1.07059,1.21138,0.7994,0.72054,0.80064,0.51437,0.92214,0.84604,0.8827,0.000297226,0.000297226,0.000297226
85,3090.06,1.21774,1.08171,1.2122,0.78813,0.74087,0.80313,0.51979,0.91445,0.81893,0.87416,0.000280723,0.000280723,0.000280723
86,3129.2,1.19168,1.05436,1.19863,0.79547,0.7264,0.80434,0.51528,0.91425,0.83007,0.87457,0.00026422,0.00026422,0.00026422
87,3165.13,1.19186,1.05397,1.19663,0.7933,0.73491,0.80015,0.51198,0.91458,0.84311,0.8752,0.000247716,0.000247716,0.000247716
88,3199.53,1.18591,1.05129,1.19506,0.79801,0.72825,0.80095,0.51758,0.90894,0.80594,0.87015,0.000231213,0.000231213,0.000231213
89,3233.8,1.19217,1.0532,1.20132,0.80836,0.72931,0.80273,0.51557,0.91368,0.81638,0.87052,0.00021471,0.00021471,0.00021471
90,3268.07,1.17613,1.03711,1.18599,0.80655,0.72698,0.80186,0.51269,0.91282,0.83134,0.87096,0.000198206,0.000198206,0.000198206
91,3315.3,1.14666,0.95342,1.17841,0.81194,0.72515,0.79961,0.51252,0.92574,0.89447,0.88016,0.000181703,0.000181703,0.000181703
92,3349.23,1.13131,0.91591,1.16525,0.82394,0.71338,0.80651,0.51395,0.92252,0.88318,0.87592,0.0001652,0.0001652,0.0001652
93,3384.29,1.13307,0.88478,1.16372,0.8177,0.72997,0.80917,0.51705,0.91927,0.83401,0.87441,0.000148696,0.000148696,0.000148696
94,3422.44,1.11949,0.88937,1.15627,0.82462,0.71838,0.81017,0.51777,0.91747,0.83877,0.87279,0.000132193,0.000132193,0.000132193
95,3459.51,1.10884,0.8549,1.15205,0.83476,0.7243,0.81442,0.52619,0.91197,0.82698,0.87041,0.00011569,0.00011569,0.00011569
96,3493.5,1.10664,0.86061,1.14605,0.81451,0.73261,0.81342,0.52756,0.90686,0.812,0.86839,9.91865e-05,9.91865e-05,9.91865e-05
97,3527.45,1.08193,0.83444,1.13854,0.8334,0.71342,0.81407,0.52706,0.90052,0.79977,0.86377,8.26832e-05,8.26832e-05,8.26832e-05
98,3562.4,1.07841,0.83838,1.13298,0.81892,0.72607,0.81293,0.52616,0.9028,0.80031,0.86655,6.61799e-05,6.61799e-05,6.61799e-05
99,3600.2,1.09592,0.84999,1.14452,0.81701,0.72979,0.81178,0.526,0.90497,0.79583,0.86783,4.96766e-05,4.96766e-05,4.96766e-05
100,3637.71,1.08511,0.84777,1.13724,0.81737,0.73166,0.81312,0.52665,0.90231,0.78618,0.86455,3.31733e-05,3.31733e-05,3.31733e-05
